Supplier,Recipient,Ordered,Weapon model,Weapon category,Ordered year,Delivered year,Delivered num.,Comments,latS,longS,codeS,latR,longR,codeR
Belgium,Chad,(82),AML-60/90,Armoured car,2006,2007-2010,(82),Second-hand but modernized before delivery | Eland-90 version | ordered and delivered via France,50.503887,4.469936,BEL,15.454166,18.732207,TCD
Belgium,Estonia,(25),Mistral,Portable SAM,(2010),2010,(25),Second-hand,50.503887,4.469936,BEL,58.595272,25.013607,EST
Belgium,France,(110),Arrows-300,APC turret,(2005),2008-2013,(110),For 110 VPC APC produced in France,50.503887,4.469936,BEL,46.227638,2.213749,FRA
Belgium,France,2,ABC V-12,Diesel engine,(2011),2011,2,For 1 Gowind (LAdroit) OPV produced in FRA,50.503887,4.469936,BEL,46.227638,2.213749,FRA
Belgium,France,4,AS365/AS565 Panther,Helicopter,(2018),2018,(4),Second-hand | probably lease | AS-365 version,50.503887,4.469936,BEL,46.227638,2.213749,FRA
Belgium,Indonesia,(22),CM-90 90mm,Tank turret,(2008),2013,(22),For Black Fox IFV from South Korea | CSE-90 version,50.503887,4.469936,BEL,-0.789275,113.921327,IDN
Belgium,Indonesia,150,M-113,APC,2014,2014-2018,(150),Second-hand | incl ARV version,50.503887,4.469936,BEL,-0.789275,113.921327,IDN
Belgium,Indonesia,,CT-CV 105mm,Tank turret,2016,2017,(1),For Pandur-2 FSV from Austria,50.503887,4.469936,BEL,-0.789275,113.921327,IDN
Belgium,Indonesia,(4),M-108 VBCL,APC,2016,2018,4,Second-hand | for use with M-109 self-propelled gun,50.503887,4.469936,BEL,-0.789275,113.921327,IDN
Belgium,Indonesia,(36),M-109A1 155mm,Self-propelled gun,2016,2017-2018,36,Second-hand | M-109A4 version,50.503887,4.469936,BEL,-0.789275,113.921327,IDN
Belgium,Jordan,9,F-16C,FGA aircraft,2010,2011,9,Second-hand | Peace Falcon-5 deal | F-16AM version (incl 3 F-16BM/F-16D),50.503887,4.469936,BEL,30.585164,36.238414,JOR
Belgium,Jordan,6,M-113,APC,2010,2010,6,Second-hand | ARV and maintenance versions,50.503887,4.469936,BEL,30.585164,36.238414,JOR
Belgium,Lebanon,22,AIFV,IFV,2007,2009-2010,22,Second-hand,50.503887,4.469936,BEL,33.854721,35.862285,LBN
Belgium,Myanmar,(1),EC-120 Colibri,Light helicopter,2016,2016,(1),Second-hand,50.503887,4.469936,BEL,21.913965,95.956223,MMR
Belgium,Philippines,24,M-113,APC,2014,2015,24,Second-hand but modernized before delivery | part of PHP882 m ($20 m) deal | incl 4 modified to IFV and 14 modified to AFSV (with second-hand Philippine turret),50.503887,4.469936,BEL,12.879721,121.774017,PHL
Belgium,Saudi Arabia,84,LCTS 90mm,Tank turret,(2009),2011-2014,(84),For 84 Piranha (LAV-90 or LAV-AG) AFSV from Canada,50.503887,4.469936,BEL,23.885942,45.079162,SAU
Belgium,Saudi Arabia,119,CT-CV 105mm,Tank turret,2014,,,Part of EUR3.2 b deal | for 119 Piranha LAV-6 AFSV from Canada,50.503887,4.469936,BEL,23.885942,45.079162,SAU
Belgium,Saudi Arabia,(119),MCT,IFV turret,2014,,,Part of EUR3.2 b deal | for 119 Piranha LAV-6 IFV from Canada,50.503887,4.469936,BEL,23.885942,45.079162,SAU
Belgium,United Kingdom,2,BAe-146,Transport aircraft,2012,2013,2,Second-hand | BAe-146-200QC version | UK designation BAE-146 C-3 | acquired for use in Afghanistan,50.503887,4.469936,BEL,55.378051,-3.435973,GBR
Bosnia-Herzegovina,Afghanistan,60,D-30 122mm,Towed gun,2009,2011,(60),Second-hand but modernized before delivery,43.915886,17.679076,BIH,33.93911,67.709953,AFG
Bosnia-Herzegovina,Afghanistan,(20),D-30 122mm,Towed gun,(2012),2013,20,Second-hand,43.915886,17.679076,BIH,33.93911,67.709953,AFG
Brazil,Afghanistan,6,EMB-314 Super Tucano,Trainer/combat ac,2017,2018,(6),Financed by USA | ordered via USA from US production line,-14.235004,-51.92528,BRA,33.93911,67.709953,AFG
Brazil,Nigeria,12,EMB-314 Super Tucano,Trainer/combat ac,2018,,,$329 m deal | from US production line | delivery planned by 2024,-14.235004,-51.92528,BRA,9.081999,8.675277,NGA
Brazil,Afghanistan,20,EMB-314 Super Tucano,Trainer/combat ac,2013,2016,(20),$427 m LAS deal (financed by USA) | ordered via USA from US production line,-14.235004,-51.92528,BRA,33.93911,67.709953,AFG
Brazil,Angola,6,EMB-314 Super Tucano,Trainer/combat ac,2011,2013,(6),,-14.235004,-51.92528,BRA,-11.202692,17.873887,AGO
Brazil,Bolivia,4,Bell-205/UH-1H,Helicopter,2011,2012,4,Second-hand | aid | for anti-narcotics operations,-14.235004,-51.92528,BRA,-16.290154,-63.588653,BOL
Brazil,Burkina Faso,(3),EMB-314 Super Tucano,Trainer/combat ac,(2010),2011,3,,-14.235004,-51.92528,BRA,12.238333,-1.561593,BFA
Brazil,Chile,12,EMB-314 Super Tucano,Trainer/combat ac,2008,2009-2010,12,$140 m deal,-14.235004,-51.92528,BRA,-35.675147,-71.542969,CHL
Brazil,Chile,6,EMB-314 Super Tucano,Trainer/combat ac,2017,2018,(6),,-14.235004,-51.92528,BRA,-35.675147,-71.542969,CHL
Brazil,Colombia,(50),SMKB,Guided bomb,(2009),2012,(50),,-14.235004,-51.92528,BRA,4.570868,-74.297333,COL
Brazil,Comoros,1,L-410 Turbolet,Light transport ac,2012,2012,1,L-410UVP version | second-hand,-14.235004,-51.92528,BRA,-11.875001,43.872219,COM
Brazil,Dominican Republic,8,EMB-314 Super Tucano,Trainer/combat ac,2008,2009-2010,8,Incl for combat role (anti-narcotics operations),-14.235004,-51.92528,BRA,18.735693,-70.162651,DOM
Brazil,Ecuador,18,EMB-314 Super Tucano,Trainer/combat ac,2008,2010-2011,18,$220 m deal | originally 24 ordered but changed to 18,-14.235004,-51.92528,BRA,-1.831239,-78.183406,ECU
Brazil,Guyana,2,BN-2 Islander,Light transport ac,2018,2018,2,Second-hand,-14.235004,-51.92528,BRA,4.860416,-58.93018,GUY
Brazil,India,(3),ERJ-145,Transport aircraft,2008,2017-2018,(3),$210 m deal (part of INR18 b ($378 m) deal) | for modification in India to AEW&C aircraft with Indian radar,-14.235004,-51.92528,BRA,20.593684,78.96288,IND
Brazil,Indonesia,8,EMB-314 Super Tucano,Trainer/combat ac,2011,2012-2014,8,,-14.235004,-51.92528,BRA,-0.789275,113.921327,IDN
Brazil,Indonesia,(36),ASTROS-2,Self-propelled MRL,2012,2014-2015,(36),$403 m deal | ASTROS-2 Mk-6 version,-14.235004,-51.92528,BRA,-0.789275,113.921327,IDN
Brazil,Indonesia,8,EMB-314 Super Tucano,Trainer/combat ac,2012,2015-2016,8,,-14.235004,-51.92528,BRA,-0.789275,113.921327,IDN
Brazil,Lebanon,(20),VBTP Guarani,APC,2014,2017,(20),Part of EUR30 m deal | ordered via Italy | VBTP-MR version,-14.235004,-51.92528,BRA,33.854721,35.862285,LBN
Brazil,Lebanon,6,EMB-314 Super Tucano,Trainer/combat ac,2015,2017-2018,6,$173 m deal | A-29B version | from US production line | for combat role,-14.235004,-51.92528,BRA,33.854721,35.862285,LBN
Brazil,Malaysia,18,ASTROS-2,Self-propelled MRL,2007,2010,18,$300 m deal,-14.235004,-51.92528,BRA,4.210484,101.975766,MYS
Brazil,Mali,(4),EMB-314 Super Tucano,Trainer/combat ac,2015,2018,4,,-14.235004,-51.92528,BRA,17.570692,-3.996166,MLI
Brazil,Mauritania,(4),EMB-314 Super Tucano,Trainer/combat ac,2011,2012-2013,(4),,-14.235004,-51.92528,BRA,21.00789,-10.940835,MRT
Brazil,Mozambique,3,EMB-312 Tucano,Trainer aircraft,2014,2014,(3),Second-hand | aid,-14.235004,-51.92528,BRA,-18.665695,35.529562,MOZ
