Country Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,country,latitude,longitude,name,code3
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,EE,58.595272,25.013607,Estonia,EST
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,51,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,ET,9.145,40.489673,Ethiopia,ETH
Finland,0,0,0,0,0,0,0,0,0,0,60,1,1,0,0,1,86,33,33,33,2,39,30,0,63,63,0,0,63,63,0,0,20,0,0,0,0,0,1,0,0,22,11,17,26,26,9,10,34,28,12,33,34,40,34,52,138,77,79,52,61,41,104,77,93,20,43,25,42,24,1850,FI,61.92411,25.748151,Finland,FIN
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,FJ,-16.578193,179.414413,Fiji,FJI
France,8,67,43,315,322,469,863,661,789,800,942,971,974,1232,1417,1196,1646,1533,1483,1460,1692,2298,2603,2875,2096,2190,2006,2677,3297,3009,3847,3786,3828,3461,3008,4037,3023,1800,1994,2289,1818,1200,1250,979,901,1018,1937,3272,3167,1817,1082,1416,1433,1400,2283,1817,1666,2369,1968,1888,866,1731,1010,1468,1627,1995,2041,2367,1773,3368,125932,FR,46.227638,2.213749,France,FRA
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GA,-0.803689,11.609444,Gabon,GAB
United Kingdom,2250,3459,3244,4622,5216,4835,5966,4994,3991,3416,2147,1174,1116,1297,1405,1471,1336,1976,1617,1761,887,2194,2464,2751,2337,2416,2494,2188,2201,1501,1702,2433,2571,2559,2552,2121,1965,3597,2553,3548,1866,1522,1179,1421,1539,1475,1662,2384,1412,1368,1633,1387,1100,754,1216,1060,997,984,987,1080,1157,1055,929,1608,1651,1179,1376,1225,699,972,143205,GB,55.378051,-3.435973,United Kingdom,GBR
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,69,0,69,0,16,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,213,GE,42.315407,43.356892,Georgia,GEO
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,GH,7.946527,-1.023194,Ghana,GHA
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,18,0,19,31,9,3,2,2,0,6,22,13,23,0,0,0,0,0,0,0,0,0,0,30,0,0,210,GR,39.074208,21.824312,Greece,GRC
Guatemala,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GT,15.783471,-90.230759,Guatemala,GTM
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,GY,4.860416,-58.93018,Guyana,GUY
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,HR,45.1,15.2,Croatia,HRV
Hungary,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18,18,37,28,0,0,8,44,8,8,0,0,0,0,4,30,4,4,0,0,0,0,0,0,0,0,0,21,0,6,0,24,0,0,0,0,34,0,0,82,0,9,0,0,0,0,0,41,0,0,0,0,0,0,429,HU,47.162494,19.503304,Hungary,HUN
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,4,0,0,0,0,8,4,0,0,0,0,0,0,16,16,25,0,8,0,49,0,16,49,0,25,8,8,0,1,0,0,8,0,0,0,0,86,94,15,8,476,ID,-0.789275,113.921327,Indonesia,IDN
India,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,2,21,24,31,0,0,27,22,0,0,2,0,0,0,0,0,1,0,3,0,3,9,2,2,0,0,0,0,21,2,0,4,27,19,33,23,15,27,5,3,0,14,36,42,45,56,43,115,687,IN,20.593684,78.96288,India,IND
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,32,31,28,28,26,1,26,27,14,0,0,0,0,0,249,IE,53.41291,-8.24389,Ireland,IRL
Iran,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,28,0,0,23,6,106,6,129,81,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,2,0,0,0,0,0,3,9,1,2,75,0,43,45,45,86,21,12,47,15,5,20,0,0,822,IR,32.427908,53.688046,Iran,IRN
Iraq,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,168,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,IQ,33.223191,43.679291,Iraq,IRQ
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,IS,64.963051,-19.020835,Iceland,ISL
Israel,0,0,0,0,8,30,0,4,0,23,0,0,0,0,5,10,14,13,23,24,13,21,31,13,45,109,54,202,212,190,270,219,256,418,281,208,352,137,75,211,85,151,324,382,296,166,286,247,229,169,404,474,579,409,609,510,406,554,373,744,637,538,455,420,393,720,1392,1195,655,369,17643,IL,31.046051,34.851612,Israel,ISR
Italy,141,117,24,1,11,140,257,275,234,8,104,245,261,240,385,295,243,149,192,325,280,395,296,341,417,526,529,505,691,1303,1168,1715,1689,1183,1258,920,228,617,386,335,206,349,248,341,208,297,291,454,426,504,208,270,467,365,263,832,553,749,422,512,539,947,747,862,671,676,618,793,555,491,33296,IT,41.87194,12.56738,Italy,ITA
Jordan,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,36,0,22,23,50,0,18,0,0,0,0,0,76,0,2,7,0,7,64,0,0,0,0,65,0,0,6,0,0,0,0,0,0,42,20,0,13,13,28,117,0,21,25,114,16,17,80,1,86,971,JO,30.585164,36.238414,Jordan,JOR
Japan,0,0,0,0,2,110,38,112,3,41,1,61,100,8,14,0,5,0,0,34,0,15,8,34,53,0,0,0,9,11,167,0,0,17,17,44,99,0,0,15,30,68,126,153,162,158,188,32,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,2,3,0,1978,JP,36.204824,138.252924,Japan,JPN
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3,6,183,19,12,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,261,KZ,48.019573,66.923684,Kazakhstan,KAZ
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,KE,-0.023559,37.906193,Kenya,KEN
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,92,0,0,18,18,14,0,0,0,0,0,0,4,5,5,0,0,214,KG,41.20438,74.766098,Kyrgyzstan,KGZ
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,KH,12.565679,104.990963,Cambodia,KHM
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,105,105,130,65,0,126,33,78,0,51,48,72,118,0,60,7,28,24,21,32,0,10,228,0,96,73,108,158,279,109,224,197,345,218,347,163,101,479,751,1066,688,6882,KR,35.907757,127.766922,South Korea,KOR
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,KW,29.31166,47.481766,Kuwait,KWT
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,LB,33.854721,35.862285,Lebanon,LBN
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,8,398,95,107,168,14,54,32,10,14,64,7,36,0,0,0,3,0,0,3,10,0,0,0,21,16,113,113,18,10,18,32,28,0,0,0,0,0,1,0,0,0,1421,LY,26.3351,17.228331,Libya,LBY
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,LK,7.873054,80.771797,Sri Lanka,LKA
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,63,LT,55.169438,23.881275,Lithuania,LTU
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU,49.815273,6.129583,Luxembourg,LUX
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,LV,56.879635,24.603189,Latvia,LVA
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,MA,31.791702,-7.09262,Morocco,MAR
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,36,0,0,217,0,0,6,42,60,13,0,18,3,19,29,20,0,11,0,0,0,0,0,0,0,0,487,MD,47.411631,28.369885,Moldova,MDA
