,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
El Salvador,213.0,163.9,145.1,134.2,116.5,109.3,111.6,110.8,112.2,110.8,114.7,110.4,150.7,161.7,126.6,128.0,132.9,142.1,165.6,173.0,189.9,201.0,220.7,224.3,237.5,233.9,247.7,247.6,260.9,294.6,319.5
Guatemala,151.6,132.2,119.3,153.8,144.4,153.0,158.3,141.4,132.1,139.8,123.8,157.8,196.8,158.4,178.8,114.9,104.5,130.5,135.9,166.5,147.4,169.8,197.4,224.4,249.8,245.7,252.5,290.9,275.0,273.1,344.5
Haiti,2.2,2.7,2.6,1.7,1.6,1.6,2.5,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Honduras,138.0,67.1,47.4,. .,40.6,. .,. .,. .,. .,. .,. .,52.5,63.0,63.6,82.2,60.6,62.6,75.6,95.9,132.4,156.8,170.2,200.4,212.3,294.9,314.1,356.3,363.3,398.5,385.3,404.0
Jamaica,40.9,38.6,31.9,47.2,44.5,34.2,35.3,41.8,54.9,47.6,45.1,43.6,46.4,56.9,54.8,54.5,59.3,72.6,83.5,130.7,114.8,115.6,133.6,137.6,128.4,121.3,123.9,137.6,143.5,209.7,252.3
Mexico,1153.4,1210.9,1459.1,1824.6,2123.0,2635.3,1562.6,1882.9,2184.1,2263.2,2652.9,3031.5,3229.5,3172.3,2960.5,2854.4,3123.5,3035.1,4223.0,4334.7,4514.2,4789.0,5498.5,5717.0,6473.1,6758.7,5468.8,5336.9,5062.1,5839.5,6536.4
Nicaragua,. .,1142.5,67.7,47.2,40.2,35.4,35.1,31.5,30.3,26.3,26.9,30.8,28.2,34.8,35.3,32.6,34.1,37.3,39.5,42.7,41.7,44.3,51.5,70.1,74.5,81.4,98.9,85.1,86.7,81.6,82.6
Panama,101.9,73.1,78.6,78.8,95.2,101.0,96.6,101.2,118.0,104.0,111.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinidad & Tobago,. .,. .,. .,. .,22.6,24.2,. .,. .,. .,. .,. .,. .,13.9,19.5,33.7,75.9,97.8,115.6,124.8,139.1,138.5,143.1,146.1,168.8,211.2,188.9,202.1,216.3,201.8,162.1,166.4
Canada,10747.1,11414.6,11338.5,10788.8,10268.8,9577.4,9176.9,8615.9,7945.1,7748.6,8210.8,8299.4,8375.6,8495.4,9958.2,11336.5,12988.1,14809.9,17417.1,19342.1,18936.2,19315.7,21393.7,20452.1,18515.7,17853.7,17937.6,17782.8,22269.7,22729.3,22197.6
USA,321866.6,325129.3,299372.8,325033.7,316719.4,308084.0,295853.1,287960.7,293167.8,290996.1,298094.9,320086.3,331805.6,378463.1,440532.1,492999.4,533203.0,558335.0,589586.0,656756.0,705917.0,738005.0,752288.0,725205.0,679229.0,647789.0,633829.6,639856.4,646752.9,682491.4,731751.4
Argentina,1440.9,2050.9,2858.8,3254.5,3368.6,3754.7,3802.0,3379.1,3340.7,3398.7,3461.7,3266.6,3183.6,1114.2,1374.9,1465.8,1699.6,1847.6,2296.4,2789.0,2981.9,3475.3,4051.9,4563.2,5138.0,4979.4,5482.6,4509.6,5459.6,3842.9,3143.3
Bolivia,101.7,137.1,143.6,141.4,109.9,134.6,140.8,147.0,180.2,228.7,176.7,173.2,184.4,160.4,173.4,168.9,169.3,179.5,221.3,327.2,345.8,327.4,403.6,499.9,564.4,625.9,575.5,552.4,574.1,618.8,598.5
Brazil,8761.5,9236.3,6694.7,4993.8,7099.9,10591.5,14318.9,14073.2,13934.3,14357.4,9867.0,11344.0,10930.2,9664.6,8392.9,9780.1,13588.6,16404.9,20485.8,24452.9,25648.8,34002.9,36936.2,33987.0,32874.8,32659.6,24617.7,24224.7,29283.1,28177.4,26945.9
Chile,988.9,1031.5,1038.0,1168.9,1291.1,1466.0,1828.0,1904.1,2120.7,2112.4,2043.1,2103.5,1893.1,1779.6,2068.0,2687.3,3100.4,3855.4,4022.5,4641.9,3902.2,4894.1,5686.8,5466.1,5529.9,5102.8,4630.8,4796.0,5370.0,5545.8,5182.2
Colombia,865.2,890.0,911.5,1102.4,1529.4,2005.1,2619.3,4318.6,2988.7,3389.8,3247.3,3027.9,3264.4,3347.5,3278.4,4056.9,4914.2,5326.7,6775.8,9051.1,9033.2,10422.1,10306.6,11706.3,12503.8,11846.0,9127.2,8676.0,10018.0,10134.7,10084.4
Ecuador,189.0,202.0,209.0,211.0,276.0,291.0,475.0,419.0,499.0,549.0,296.0,266.0,384.0,505.0,739.0,710.0,954.0,950.0,1310.0,1646.0,1949.0,2094.0,2453.7,2589.8,2735.8,2786.5,2597.5,2513.2,2462.7,2549.4,2467.8
Guyana,6.0,3.6,2.0,3.6,4.4,5.5,5.7,5.6,. .,. .,. .,12.6,14.4,16.7,16.3,22.1,18.5,19.2,25.0,30.5,31.1,31.1,32.4,33.5,35.2,39.3,46.4,51.6,59.5,62.2,67.8
Paraguay,98.1,112.2,197.6,169.6,157.9,161.1,206.9,202.0,168.0,139.3,116.6,110.2,91.3,69.9,63.5,84.5,77.5,106.6,132.4,168.2,168.5,204.6,285.1,320.9,371.2,398.4,386.5,343.2,348.2,386.6,402.7
Peru,862.7,777.1,697.7,904.6,956.6,1111.2,1413.5,1396.5,1178.8,1141.8,992.2,912.0,904.2,839.6,891.3,922.0,1203.0,1291.1,1332.7,1503.7,1848.6,2178.9,2355.2,2858.0,3305.5,3217.6,3312.2,2536.1,2665.8,2648.7,2724.9
Uruguay,297.8,328.4,268.6,367.0,418.9,450.4,523.9,575.7,575.2,573.2,574.3,556.0,523.0,344.3,269.5,279.3,347.3,392.8,416.0,567.7,577.1,755.7,824.8,924.6,1045.1,1034.5,969.9,988.2,1165.7,1271.1,1146.3
