Supplier,Recipient,Ordered,Weapon model,Weapon category,Ordered year,Delivered year,Delivered num.,Comments,latS,longS,codeS,latR,longR,codeR
Australia,Samoa,1,Guardian,Patrol craft,2014,2019,1,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme,-25.274398,133.775136,AUS,-13.759029,-172.104629,WSM
Australia,Singapore,100,R-600,IFV turret,2009,2010-2011,(100),AUD28 m ($22 m) deal | for Terrex APC/IFV produced in Singapore,-25.274398,133.775136,AUS,1.352083,103.819836,SGP
Australia,Singapore,(35),R-600,IFV turret,2012,2012-2013,(35),AUD25 m ($27 m) deal | for Terrex APC/IFV produced in Singapore,-25.274398,133.775136,AUS,1.352083,103.819836,SGP
Australia,Solomon Islands,1,ASI-315,Patrol craft,(1989),1991,1,Pacific Patrol Boat/Defence Cooperation aid programme | Solomon Islands designation Lata,-25.274398,133.775136,AUS,-9.64571,160.156194,SLB
Australia,Solomon Islands,2,Guardian,Patrol craft,2014,2019,1,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme | delivery planned 2019-2022,-25.274398,133.775136,AUS,-9.64571,160.156194,SLB
Australia,Sri Lanka,2,Bay,Patrol craft,(2014),2014,2,Second-hand | aid,-25.274398,133.775136,AUS,7.873054,80.771797,LKA
Australia,Sweden,2,Saab-340,Transport aircraft,2003,2003,2,Second-hand | Saab-340BPlus version | Swedish designation Tp-100C,-25.274398,133.775136,AUS,60.128161,18.643501,SWE
Australia,Timor-Leste,2,Guardian,Patrol craft,(2017),,,Aid | delivery planned 2023,-25.274398,133.775136,AUS,-8.874217,125.727539,TLS
Australia,Tonga,3,ASI-315,Patrol craft,1988,1989-1991,3,Pacific Patrol Boat/Defence Cooperation aid programme | Tongan designation Neiafu,-25.274398,133.775136,AUS,-21.178986,-175.198242,TON
Australia,Tonga,1,Forgacs 30m,Landing craft,2014,2015,1,Aid | Tongan designation Late,-25.274398,133.775136,AUS,-21.178986,-175.198242,TON
Australia,Tonga,2,Guardian,Patrol craft,2014,2019,1,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme | delivery planned 2019-2021,-25.274398,133.775136,AUS,-21.178986,-175.198242,TON
Australia,Trinidad and Tobago,6,Austal-30m,Patrol craft,2008,2010,6,For coast guard,-25.274398,133.775136,AUS,10.691803,-61.222503,TTO
Australia,Trinidad and Tobago,2,Cape,Patrol craft,2019,,,AUD126 m ($85 m) deal | for coast guard | delivery planned 2020,-25.274398,133.775136,AUS,10.691803,-61.222503,TTO
Australia,Tuvalu,1,ASI-315,Patrol craft,1992,1994,1,Pacific Patrol Boat/Defence Cooperation aid programme | Tuvaluan designation Te Mataili,-25.274398,133.775136,AUS,-7.109535,177.64933,TUV
Australia,Tuvalu,1,Guardian,Patrol craft,2014,2019,1,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme,-25.274398,133.775136,AUS,-7.109535,177.64933,TUV
Australia,UAE,,R-400S,IFV turret,2019,,,AED1.6 b ($316 m) deal | probably incl for Nimr APC/IFV produced in UAE,-25.274398,133.775136,AUS,23.424076,53.847818,ARE
Australia,United Kingdom,24,Bushmaster,APC,2008,2008,(24),AUD33 m deal | for use in Afghanistan,-25.274398,133.775136,AUS,55.378051,-3.435973,GBR
Australia,United States,7,CH-47C Chinook,Transport helicopter,1991,1994-1995,(7),Second-hand but modernized after delivery in USA to CH-47D,-25.274398,133.775136,AUS,37.09024,-95.712891,USA
Australia,United States,1,Incat,Transport ship,2001,2001,1,$20 m 2-year lease | US designation HSV-X1 and Joint Venture,-25.274398,133.775136,AUS,37.09024,-95.712891,USA
Australia,United States,1,WestPac Express,Transport ship,2001,2001,1,Second-hand | lease,-25.274398,133.775136,AUS,37.09024,-95.712891,USA
Australia,United States,1,Incat,Transport ship,2002,2002,1,$80 m 3-year | US designation TSV-X1 and Spearhead,-25.274398,133.775136,AUS,37.09024,-95.712891,USA
Australia,United States,7,GA-8 Airvan,Light aircraft,2003,2004,(7),For Auxiliary Civil Air Patrol,-25.274398,133.775136,AUS,37.09024,-95.712891,USA
Australia,United States,1,Incat,Transport ship,2003,2003,1,5-year lease | incl for use as MCM support ship | US designation HSV-2 and Swift,-25.274398,133.775136,AUS,37.09024,-95.712891,USA
Australia,United States,3,KC-707,Tanker/transport ac,2011,2011,3,Second-hand | Boeing-707-338C version | owned and operated by US company and leased per hour to US and other armed forces,-25.274398,133.775136,AUS,37.09024,-95.712891,USA
Australia,Vanuatu,1,Guardian,Patrol craft,2014,,,Part of SEA-3036 Pacific Patrol Boat Replacement aid programme | delivery planned 2021,-25.274398,133.775136,AUS,-15.376706,166.959158,VUT
Australia,Yemen,10,P-1022,Patrol craft,2003,2005,10,AUD90 m ($55-70 m) deal,-25.274398,133.775136,AUS,15.552727,48.516388,YEM
Austria,Australia,8,DA40,Light aircraft,2018,2019,8,DA40NG version | for training | incl 6 from Canadian production line,47.516231,14.550072,AUT,-25.274398,133.775136,AUS
Austria,Uganda,6,Bell-206/OH-58,Light helicopter,2009,2009-2010,(6),Second-hand | AB-2016B-3 version | delivered via FRG company,47.516231,14.550072,AUT,1.373333,32.290275,UGA
Austria,Argentina,(4),SK-105 Kurassier,Light tank,(2006),2007,4,SK-105 chassis | fitted with turret from AMX-13 tank in Argentina | Argentine designation Patagon,47.516231,14.550072,AUT,-38.416097,-63.616672,ARG
Austria,Belgium,54,Pandur,APC,1997,1998-2000,(54),$42 m deal (offsets 100% incl production of componets and assembly in Belgium) | incl 5 command post 4 ARV and 4 ambulance version,47.516231,14.550072,AUT,50.503887,4.469936,BEL
Austria,Belgium,6,Pandur,APC,(2001),2002,(6),Ambulance version | incl production of components and assembly in Belgium,47.516231,14.550072,AUT,50.503887,4.469936,BEL
