,Country Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,country,latitude,longitude,name,code3
74,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,12,0,14,24,2,1,0,0,11,0,35,0,20,0,20,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,GW,11.803749,-15.180413,Guinea-Bissau,GNB
57,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,7,12,7,28,30,68,3,57,65,2,92,0,0,0,7,0,396,GQ,1.650801,10.267895,Equatorial Guinea,GNQ
70,Greece,97,500,307,86,152,203,92,354,475,314,264,82,330,98,631,486,210,373,104,303,302,585,707,246,418,922,1308,1001,1290,739,675,968,462,404,364,189,202,36,528,1216,903,484,2130,864,1182,874,382,807,1719,842,708,787,400,2167,1106,411,721,1703,483,1224,631,71,19,28,204,750,323,52,39,165,40202,GR,39.074208,21.824312,Greece,GRC
71,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GD,12.262776,-61.604171,Grenada,GRD
72,Guatemala,0,6,0,0,10,9,6,0,0,5,16,0,1,7,8,5,0,1,16,1,0,46,1,1,15,47,15,1,1,5,8,47,16,1,7,25,2,0,0,4,0,0,0,13,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,33,0,0,3,13,399,GT,15.783471,-90.230759,Guatemala,GTM
75,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,15,5,1,5,4,14,0,3,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,93,GY,4.860416,-58.93018,Guyana,GUY
79,Honduras,0,1,2,0,1,0,9,1,20,1,0,0,14,0,0,1,6,0,0,19,0,0,0,2,0,31,30,25,29,9,13,27,30,33,25,35,75,13,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,8,0,10,1,23,587,HN,15.199999,-86.241905,Honduras,HND
44,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,27,53,1,15,31,0,0,0,57,2,24,8,0,0,19,99,4,11,19,19,0,27,11,20,13,2,5,494,HR,45.1,15.2,Croatia,HRV
76,Haiti,4,0,3,0,0,0,6,0,0,0,5,0,0,0,2,0,0,0,0,8,0,0,0,3,4,1,1,0,9,0,0,3,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,HT,18.971187,-72.285215,Haiti,HTI
80,Hungary,56,53,13,802,700,223,1,59,259,331,599,575,290,379,747,667,150,290,271,447,22,247,121,402,567,498,378,394,589,485,387,143,142,117,251,229,79,80,35,59,14,22,0,925,2,1,156,99,46,72,14,14,0,0,72,13,253,196,5,4,18,9,0,2,7,0,14,6,36,13,14144,HU,47.162494,19.503304,Hungary,HUN
83,Indonesia,196,58,14,6,16,25,42,30,624,679,441,895,1068,180,518,338,16,1,1,9,28,92,5,73,73,4,156,60,126,377,910,797,360,228,100,289,432,264,294,248,202,11,52,215,473,286,380,106,90,165,151,27,68,356,79,36,65,587,244,441,225,250,214,800,1188,438,381,1178,338,219,19333,ID,-0.789275,113.921327,Indonesia,IDN
82,India,141,278,104,430,265,350,367,980,954,855,544,1122,371,648,920,1049,994,1265,1655,1518,872,1864,1801,1324,1289,1102,1928,2385,1197,1193,1784,2141,2287,2661,2769,2980,4130,3835,3758,3577,2715,1878,1200,735,883,1479,862,1665,758,1216,995,1200,2031,2758,2225,1204,1488,2277,1855,1863,2909,3596,4395,5378,3341,3045,2985,2931,1488,2964,124003,IN,20.593684,78.96288,India,IND
